姓名,国籍,年龄,体重,身高,参赛项目,参赛年数,幸运因子,奖牌种类
哈尔盖·恩格布罗滕,挪威,27,77,189,速度滑冰,10,0.37,
徐景忆,中国,36,72,173,速度滑冰,8,0.53,
尹达茹,中国,35,65,167,花样滑冰,10,1.39,
莫林·勒贝尔,美国,22,75,180,花样滑冰,9,0.31,
布莱斯·贝内特,美国,21,78,179,单板滑雪,6,0.63,
岩渕丽乐,日本,26,69,187,速度滑冰,9,1.76,
冯安辰,中国,22,68,184,单板滑雪,9,1.29,
特蕾丝·约海于格,挪威,25,74,166,雪车,7,1.15,
保罗·肖默,美国,18,75,169,雪车,9,1.45,
丁劲,中国,23,78,183,花样滑冰,8,0.6,
王思烟,中国,20,77,186,速度滑冰,7,0.54,
尤利娅·斯图帕克,俄罗斯,31,67,187,花样滑冰,7,0.96,
邓军羽,中国,30,78,187,单板滑雪,9,0.63,
约根·格拉巴克,挪威,27,73,183,雪车,5,0.37,
韦罗妮卡·斯捷潘诺娃,俄罗斯,25,66,189,单板滑雪,9,1.24,
塔尔耶伊·伯厄,挪威,18,74,176,单板滑雪,10,0.63,
杰克·布朗,美国,28,74,181,雪车,8,1.4,
凯蒂·亨森,美国,19,72,176,单板滑雪,8,0.65,
乔安妮·里德,美国,36,74,184,单板滑雪,5,0.43,
蒙斯·勒伊斯韦兰,挪威,25,78,187,单板滑雪,8,0.72,
安格林娜·戈利科娃,俄罗斯,24,78,189,单板滑雪,10,3.47,
马特·奥尔斯布·雷塞兰,挪威,32,79,189,花样滑冰,10,0.65,
冯亦灵,中国,28,76,176,雪车,4,1.01,
丹尼斯·斯皮佐夫,俄罗斯,31,69,177,雪车,10,0.58,
刘泽,中国,27,75,171,雪车,7,6.01,
平野海祝,日本,34,71,179,单板滑雪,5,1.12,
蔡远佳,中国,29,76,179,单板滑雪,9,1.06,
陆伦,中国,27,68,180,速度滑冰,6,1.1,
刘宏文,中国,20,67,185,单板滑雪,9,1.42,
肖恩·多赫蒂,美国,28,72,189,雪车,8,0.47,
